n,anything,value,user,passwd,freeform,name,delay,qop,algorithm,stale_after,duration,numbytes,code,etag,offset,url,status_code,codes
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
1,,SFRUUEJJTiBpcyBhd2Vzb21l,,,,,1,,MD5,never,2,10,200,,1,,1,df
,,1,,,,,2,,,,,1,,,,,,sdf
